FISCAL_YR,FISCAL_MO,Segment_Channel,investment
2019,9,Existing_Retail1,391.7861077
2019,9,Existing_Direct1,2000.635693
2019,9,Existing_Omni,191.7970311
2019,9,React_Retail1,151.6128276
2019,9,React_Direct1,774.2031389
2019,9,React_Omni,28.33863833
2019,10,NTB_Retail1,392.0516563
2019,10,NTB_Direct1,1580.885355
2019,10,NTB_Omni,55.90075318
2019,10,Existing_Retail1,482.2412537
2019,10,Existing_Direct1,1944.560425
2019,10,Existing_Omni,227.2865727
2019,10,React_Retail1,194.3669543
2019,10,React_Direct1,783.7535348
2019,10,React_Omni,22.04463379
2019,11,NTB_Retail1,182.2794267
2019,11,NTB_Direct1,993.7292639
2019,11,NTB_Omni,32.38096751
2019,11,Existing_Retail1,348.4113008
2019,11,Existing_Direct1,1899.427224
2019,11,Existing_Omni,244.5536854
2019,11,React_Retail1,106.1201223
2019,11,React_Direct1,578.5330409
2019,11,React_Omni,24.12903054
2019,12,NTB_Retail1,86.34035361
2019,12,NTB_Direct1,510.1677327
2019,12,NTB_Omni,15.41260911
2019,12,Existing_Retail1,298.3915867
2019,12,Existing_Direct1,1763.135693
2019,12,Existing_Omni,168.1183624
2019,12,React_Retail1,54.05454486
2019,12,React_Direct1,319.3974016
2019,12,React_Omni,12.59097224
