FISCAL_YR,FISCAL_MO,FISCAL_QTR,Segment_Channel,monthly_customers,Grain
2018,12,4,React_Direct1,13716,Month
2018,12,4,React_Omni,1007,Month
2018,12,4,React_Retail1,23230,Month
2019,1,1,Existing_Direct1,96866,Month
2019,1,1,Existing_Omni,16707,Month
2019,1,1,Existing_Retail1,119652,Month
2019,1,1,NTB_Direct1,3055,Month
2019,1,1,NTB_Omni,162,Month
2019,1,1,NTB_Retail1,4600,Month
2019,1,1,React_Direct1,15731,Month
2019,1,1,React_Omni,964,Month
2019,1,1,React_Retail1,21721,Month
2019,2,1,Existing_Direct1,129348,Month
2019,2,1,Existing_Omni,32992,Month
2019,2,1,Existing_Retail1,181454,Month
2019,2,1,NTB_Direct1,5258,Month
2019,2,1,NTB_Omni,341,Month
2019,2,1,NTB_Retail1,8595,Month
2019,2,1,React_Direct1,27603,Month
2019,2,1,React_Omni,2465,Month
2019,2,1,React_Retail1,40802,Month
2019,3,1,Existing_Direct1,122651,Month
2019,3,1,Existing_Omni,26090,Month
2019,3,1,Existing_Retail1,166794,Month
2019,3,1,NTB_Direct1,4936,Month
2019,3,1,NTB_Omni,286,Month
2019,3,1,NTB_Retail1,7465,Month
2019,3,1,React_Direct1,26027,Month
2019,3,1,React_Omni,2127,Month
2019,3,1,React_Retail1,37787,Month
2019,4,2,Existing_Direct1,125282,Month
2019,4,2,Existing_Omni,29088,Month
2019,4,2,Existing_Retail1,181030,Month
2019,4,2,NTB_Direct1,6630,Month
2019,4,2,NTB_Omni,420,Month
2019,4,2,NTB_Retail1,10309,Month
2019,4,2,React_Direct1,29677,Month
2019,4,2,React_Omni,2620,Month
2019,4,2,React_Retail1,45355,Month
2019,5,2,Existing_Direct1,129962,Month
2019,5,2,Existing_Omni,32155,Month
2019,5,2,Existing_Retail1,183748,Month
2019,5,2,NTB_Direct1,6076,Month
2019,5,2,NTB_Omni,481,Month
2019,5,2,NTB_Retail1,10927,Month
2019,5,2,React_Direct1,25181,Month
2019,5,2,React_Omni,2854,Month
2019,5,2,React_Retail1,46188,Month
2019,6,2,Existing_Direct1,124644,Month
2019,6,2,Existing_Omni,28337,Month
2019,6,2,Existing_Retail1,154056,Month
2019,6,2,NTB_Direct1,5247,Month
2019,6,2,NTB_Omni,467,Month
2019,6,2,NTB_Retail1,10570,Month
2019,6,2,React_Direct1,19100,Month
2019,6,2,React_Omni,1909,Month
2019,6,2,React_Retail1,35297,Month
